"Make";"Model";"Price";"HP";"Capacity";"Mileage";"Fuel";"Production"
"Peugeot";"206";8799;60;1100;85000;"gasoline";2003
"Peugeot";"206";15500;60;1124;114000;"gasoline";2005
"Peugeot";"206";11900;90;1997;215000;"diesel";2003
"Peugeot";"206";10999;70;1868;165000;"diesel";2003
"Peugeot";"206";11900;70;1398;146000;"diesel";2005
"Peugeot";"206";19900;70;1398;86400;"diesel";2006
"Peugeot";"206";16400;70;1398;150000;"diesel";2007
"Peugeot";"206";13900;70;1398;131000;"diesel";2006
"Peugeot";"206";13900;70;1398;159000;"diesel";2007
"Peugeot";"206";18400;110;1600;57000;"gasoline";2006
"Peugeot";"206";15601.404;75;1360;134000;"gasoline";2003
"Peugeot";"206";11800;68;1398;125000;"diesel";2005
"Peugeot";"206";9300;60;1124;109000;"gasoline";2004
"Peugeot";"206";15900;70;1400;103000;"diesel";2006
"Peugeot";"206";12762.204;75;1360;88000;"gasoline";2003
"Peugeot";"206";19860.204;68;1398;122000;"diesel";2004
"Peugeot";"206";36115;60;1100;100;"gasoline";2010
"Peugeot";"206";10900;75;1398;137000;"diesel";2006
"Peugeot";"206";17900;90;1997;165223;"diesel";2004
"Peugeot";"206";9900;70;1398;135000;"diesel";2007
"Peugeot";"206";11200;75;1360;118170;"gasoline";2003
"Peugeot";"206";16200;70;1398;95000;"diesel";2005
"Peugeot";"206";12900;70;1398;153000;"diesel";2004
"Peugeot";"206";6599;70;1398;277000;"diesel";2004
"Peugeot";"206";11900;75;1400;56000;"gasoline";2003
"Peugeot";"206";15500;75;1360;50000;"gasoline";2005
"Peugeot";"206";12900;70;1398;98500;"diesel";2004
"Peugeot";"206";20500;75;1360;48000;"gasoline";2008
"Peugeot";"206";12500;68;1398;108000;"diesel";2003
"Peugeot";"206";11900;70;1398;162000;"diesel";2006
"Peugeot";"206";14990;75;1360;97500;"gasoline";2007
"Peugeot";"206";13950;90;1997;123000;"diesel";2003
"Peugeot";"206";9900;90;2000;101517;"diesel";2004
"Peugeot";"206";12800;70;1398;170000;"diesel";2003
"Peugeot";"206";13900;75;1360;109567;"gasoline";2006
"Peugeot";"206";15900;75;1360;23000;"gasoline";2005
"Peugeot";"206";15600;75;1360;77000;"gasoline";2006
"Peugeot";"206";14600;70;1398;116000;"diesel";2003
"Peugeot";"206";12900;70;1400;121000;"diesel";2003
"Peugeot";"206";12490;70;1398;157000;"diesel";2003
"Peugeot";"206";10500;70;1400;104000;"diesel";2006
"Peugeot";"206";10500;70;1400;146000;"diesel";2006
"Peugeot";"206";14900;70;1398;120160;"diesel";2006
"Peugeot";"206";12100;70;1398;120160;"diesel";2006
"Peugeot";"206";10900;70;1398;143900;"diesel";2004
"Peugeot";"206";14500;70;1398;175800;"diesel";2005
"Peugeot";"206";13900;75;1400;90000;"diesel";2006
"Peugeot";"206";9900;75;1400;130000;"gasoline";2003
"Peugeot";"206";15500;70;1398;106119;"diesel";2004
"Peugeot";"206";13500;70;1398;137424;"diesel";2004
"Peugeot";"206";21900;75;1360;18760;"gasoline";2009
"Peugeot";"206";10500;70;1398;85000;"diesel";2006
"Peugeot";"206";13500;90;1997;176000;"diesel";2003
"Peugeot";"206";15500;70;1398;128000;"diesel";2003
"Peugeot";"206";8800;60;1124;181000;"gasoline";2004
"Peugeot";"206";6900;90;1997;132000;"diesel";2004
"Peugeot";"206";16900;70;1398;102000;"diesel";2007
"Peugeot";"206";15500;90;2000;168000;"diesel";2004
"Peugeot";"206";10900;75;1360;86000;"gasoline";2003
"Peugeot";"206";13900;90;1997;140000;"diesel";2004
"Peugeot";"206";33600;65;1100;380;"gasoline";2011
"Peugeot";"206";14900;75;1400;115000;"gasoline";2004
"Peugeot";"206";10999;75;1360;154000;"gasoline";2003
"Peugeot";"206";16900;70;1398;115000;"diesel";2008
"Peugeot";"206";11600;70;1398;235000;"diesel";2003
"Peugeot";"206";15500;70;1398;82071;"diesel";2007
"Peugeot";"206";14950;68;1400;56000;"diesel";2009
"Peugeot";"206";12900;90;1997;167000;"diesel";2003
"Peugeot";"206";13500;60;1124;86000;"gasoline";2003
